ABUNDANCE,BIOMAS,GENUS_SPECIES,SAMPLE_DESC,PLOT,LATITUDE,LONGITUDE,DAY,MONTH,YEAR
1,0,"Alca torda",57.620000_-2.330000_Europe_GB_Aberdour_Bay_-159_13_6_2001,,57.620000,-2.330000,13,6,2001
1,0,"Alca torda",52.110000_-4.630000_Europe_GB_Aberporth_1_-119_2_6_2000,,52.110000,-4.630000,2,6,2000
1,0,"Alca torda",53.280000_-4.700000_Europe_GB_Abraham's_Bosom_7_23_6_2001,,53.280000,-4.700000,23,6,2001
1,0,"Alca torda",60.320000_-1.820000_Europe_GB_Aesha_Head_to_Cribbie_54_13_6_1999,,60.320000,-1.820000,13,6,1999
1,0,"Alca torda",55.160000_-5.140000_Europe_GB_Ailsa_Craig_(whole_island)_25_16_4_2001,,55.160000,-5.140000,16,4,2001
1,0,"Alca torda",58.480000_-5.260000_Europe_GB_Am_Balg_67_9_6_2000,,58.480000,-5.260000,9,6,2000
1,0,"Alca torda",57.440000_-6.830000_Europe_GB_Am_Famhair_to_Gob_na_Hoe_33_6_6_2000,,57.440000,-6.830000,6,6,2000
1,0,"Alca torda",58.580000_-4.920000_Europe_GB_An_Garbh-Eilean_-118_26_5_2000,,58.580000,-4.920000,26,5,2000
1,0,"Alca torda",57.630000_-6.520000_Europe_GB_An_T-Lasgair_28_15_6_2000,,57.630000,-6.520000,15,6,2000
1,0,"Alca torda",49.810000_-6.440000_Europe_GB_Annet_E_87_19_5_1999,,49.810000,-6.440000,19,5,1999
1,0,"Alca torda",49.810000_-6.440000_Europe_GB_Annet_F_87_19_5_1999,,49.810000,-6.440000,19,5,1999
1,0,"Alca torda",57.540000_-6.680000_Europe_GB_Ard_Beag_to_Ardmore_Point_24_29_5_2001,,57.540000,-6.680000,29,5,2001
1,0,"Alca torda",50.010000_-5.770000_Europe_GB_Armed_Knight_51_12_5_1999,,50.010000,-5.770000,12,5,1999
1,0,"Alca torda",57.360000_-1.830000_Europe_GB_Arthur_Fowlie_to_Grey_Mare_32_23_6_2001,,57.360000,-1.830000,23,6,2001
1,0,"Alca torda",57.540000_-6.680000_Europe_GB_Ascrib_Islands_1_24_15_6_2000,,57.540000,-6.680000,15,6,2000
1,0,"Alca torda",56.550000_-2.650000_Europe_GB_Auchmithie_-39_19_6_2000,,56.550000,-2.650000,19,6,2000
1,0,"Alca torda",58.520000_-3.200000_Europe_GB_Auckengill_-14_6_7_1999,,58.520000,-3.200000,6,7,1999
1,0,"Alca torda",58.970000_-2.690000_Europe_GB_Auskerry_5_27_12_7_1999,,58.970000,-2.690000,12,7,1999
1,0,"Alca torda",60.760000_-1.080000_Europe_GB_Ayre_of_Tonga_to_Tonga_Stack_50_23_6_1999,,60.760000,-1.080000,23,6,1999
1,0,"Alca torda",56.370000_-6.530000_Europe_GB_Bac_Mor_25_25_24_6_1999,,56.370000,-6.530000,24,6,1999
1,0,"Alca torda",58.150000_-3.530000_Europe_GB_Badaidh_na_Gaoithe_-98_23_6_1999,,58.150000,-3.530000,23,6,1999
1,0,"Alca torda",58.060000_-3.690000_Europe_GB_Badbea_1_21_18_6_1999,,58.060000,-3.690000,18,6,1999
1,0,"Alca torda",58.150000_-3.700000_Europe_GB_Badbea_2_-199_18_6_1999,,58.150000,-3.700000,18,6,1999
1,0,"Alca torda",58.180000_-6.250000_Europe_GB_Bagh_a_Tuath_-22_7_6_1999,,58.180000,-6.250000,7,6,1999
1,0,"Alca torda",54.740000_-3.860000_Europe_GB_Balcary_Point_1_20_6_6_1998,,54.740000,-3.860000,6,6,1998
1,0,"Alca torda",56.030000_-6.170000_Europe_GB_Balnahard_1_1_15_6_2000,,56.030000,-6.170000,15,6,2000
1,0,"Alca torda",56.030000_-6.170000_Europe_GB_Balnahard_1_1_17_6_1999,,56.030000,-6.170000,17,6,1999
1,0,"Alca torda",56.030000_-6.170000_Europe_GB_Balnahard_2_1_15_6_2000,,56.030000,-6.170000,15,6,2000
1,0,"Alca torda",56.030000_-6.170000_Europe_GB_Balnahard_2_1_17_6_1999,,56.030000,-6.170000,17,6,1999
1,0,"Alca torda",60.050000_-1.100000_Europe_GB_Bard_Head_67_31_5_2000,,60.050000,-1.100000,31,5,2000
1,0,"Alca torda",52.740000_-4.810000_Europe_GB_Bardsey_(Ynys_Enlli)_12_2_7_2000,,52.740000,-4.810000,2,7,2000
1,0,"Alca torda",54.110000_-0.310000_Europe_GB_Barlett_Nab_-39_13_6_2000,,54.110000,-0.310000,13,6,2000
1,0,"Alca torda",54.110000_-0.310000_Europe_GB_Barlett_Nab_-39_16_6_2000,,54.110000,-0.310000,16,6,2000
1,0,"Alca torda",54.110000_-0.310000_Europe_GB_Barlett_Nab_-39_5_6_2000,,54.110000,-0.310000,5,6,2000
1,0,"Alca torda",56.010000_-2.640000_Europe_GB_Bass_Rock_-20_13_6_1999,,56.010000,-2.640000,13,6,1999
1,0,"Alca torda",50.300000_-5.230000_Europe_GB_Bawden_Rocks_-54_13_5_2000,,50.300000,-5.230000,13,5,2000
1,0,"Alca torda",57.620000_-2.500000_Europe_GB_Bay_of_Cullen_-62_25_6_2001,,57.620000,-2.500000,25,6,2001
1,0,"Alca torda",50.670000_-4.690000_Europe_GB_Beeny_Sisters_-139_5_6_2000,,50.670000,-4.690000,5,6,2000
1,0,"Alca torda",56.770000_-7.730000_Europe_GB_Berneray1_33_15_6_1998,,56.770000,-7.730000,15,6,1998
2,0,"Alca torda",58.150000_-3.530000_Europe_GB_Berriedale_-98_21_6_1999,,58.150000,-3.530000,21,6,1999
1,0,"Alca torda",51.560000_-5.170000_Europe_GB_Berryslade_to_Wind_Bay_46_3_6_2000,,51.560000,-5.170000,3,6,2000
1,0,"Alca torda",55.740000_-2.000000_Europe_GB_Berwick_3_-63_10_6_2000,,55.740000,-2.000000,10,6,2000
1,0,"Alca torda",55.740000_-2.160000_Europe_GB_Berwick_4_-51_10_6_2000,,55.740000,-2.160000,10,6,2000
1,0,"Alca torda",55.560000_-1.680000_Europe_GB_Big_Harcar_-20_16_6_2000,,55.560000,-1.680000,16,6,2000
1,0,"Alca torda",60.490000_-0.900000_Europe_GB_Big_Holm_to_Moo_Wick_126_22_6_1999,,60.490000,-0.900000,22,6,1999
1,0,"Alca torda",54.630000_-4.790000_Europe_GB_Big_Scar_23_19_6_2000,,54.630000,-4.790000,19,6,2000
1,0,"Alca torda",57.540000_-6.680000_Europe_GB_Biod_a'_Choltraiche_to_Creag_an_Fhithich_24_29_5_2001,,57.540000,-6.680000,29,5,2001
1,0,"Alca torda",57.270000_-6.640000_Europe_GB_Biod_a_Mhurain_to_Flossnan_79_30_5_2001,,57.270000,-6.640000,30,5,2001
1,0,"Alca torda",57.190000_-6.470000_Europe_GB_Biod_Ruadh_to_Stac_a'_Mheadais_85_31_5_2001,,57.190000,-6.470000,31,5,2001
1,0,"Alca torda",59.050000_-3.390000_Europe_GB_Birsay_Bay_31_22_6_1999,,59.050000,-3.390000,22,6,1999
1,0,"Alca torda",58.880000_-2.860000_Europe_GB_Black_Holm_1_29_5_1999,,58.880000,-2.860000,29,5,1999
1,0,"Alca torda",50.520000_-2.000000_Europe_GB_Blackers_Hole_-_Dancing_Ledge_28_10_6_1999,,50.520000,-2.000000,10,6,1999
1,0,"Alca torda",50.520000_-2.000000_Europe_GB_Blackers_Hole_-_Dancing_Ledge_28_10_6_2000,,50.520000,-2.000000,10,6,2000
1,0,"Alca torda",59.870000_-1.280000_Europe_GB_Boat's_Noost_to_Drooping_Point_-4_17_6_1999,,59.870000,-1.280000,17,6,1999
1,0,"Alca torda",59.870000_-1.460000_Europe_GB_Boddam_to_Point_of_Blo_Geo_73_17_6_1999,,59.870000,-1.460000,17,6,1999
1,0,"Alca torda",50.580000_-4.820000_Europe_GB_Bounds_Cliff_-84_6_6_1999,,50.580000,-4.820000,6,6,1999
1,0,"Alca torda",54.000000_-4.900000_Europe_GB_Bradda_-_Fleshwick_36_16_5_1999,,54.000000,-4.900000,16,5,1999
1,0,"Alca torda",52.740000_-4.810000_Europe_GB_Braich_Anelog_12_17_6_2000,,52.740000,-4.810000,17,6,2000
1,0,"Alca torda",54.110000_-0.160000_Europe_GB_Breil_Newk_-56_12_6_2000,,54.110000,-0.160000,12,6,2000
1,0,"Alca torda",54.110000_-0.160000_Europe_GB_Breil_Newk_-56_2_6_2000,,54.110000,-0.160000,2,6,2000
1,0,"Alca torda",57.000000_-6.610000_Europe_GB_Bre-Sgorr_12_9_7_1999,,57.000000,-6.610000,9,7,1999
1,0,"Alca torda",50.100000_-5.770000_Europe_GB_Brisons_41_3_6_1999,,50.100000,-5.770000,3,6,1999
1,0,"Alca torda",55.830000_-2.160000_Europe_GB_Broadhaven_to_Moorburn_Point_-77_14_6_2000,,55.830000,-2.160000,14,6,2000
1,0,"Alca torda",55.830000_-2.160000_Europe_GB_Broadhaven_to_Moorburn_Point_-77_16_6_2000,,55.830000,-2.160000,16,6,2000
1,0,"Alca torda",59.050000_-3.390000_Europe_GB_Brough_of_Birsay_31_22_6_1999,,59.050000,-3.390000,22,6,1999
1,0,"Alca torda",55.560000_-1.680000_Europe_GB_Brownsman_-20_16_6_2000,,55.560000,-1.680000,16,6,2000
1,0,"Alca torda",58.450000_-6.280000_Europe_GB_Buaile_nan_Caorach_-58_13_6_1999,,58.450000,-6.280000,13,6,1999
1,0,"Alca torda",50.670000_-4.690000_Europe_GB_Buckator_-139_5_6_2000,,50.670000,-4.690000,5,6,2000
1,0,"Alca torda",56.640000_-2.650000_Europe_GB_Buckiemill_-45_16_6_2000,,56.640000,-2.650000,16,6,2000
1,0,"Alca torda",54.110000_-0.310000_Europe_GB_Buckton_-39_16_6_2000,,54.110000,-0.310000,16,6,2000
1,0,"Alca torda",57.360000_-1.830000_Europe_GB_Bullers_of_Buchan_32_1_6_2001,,57.360000,-1.830000,1,6,2001
2,0,"Alca torda",57.360000_-1.830000_Europe_GB_Bullers_of_Buchan_32_23_6_2001,,57.360000,-1.830000,23,6,2001
1,0,"Alca torda",57.360000_-1.830000_Europe_GB_Bullers_of_Buchan_32_6_6_2001,,57.360000,-1.830000,6,6,2001
